,Title,Parsed_Ingredients,Ingredients,Instructions,Scores
10,Greek Chicken,chicken lemon,"1/2 chicken, Salt and pepper, 1 tablespoon finely chopped fresh oregano leaves, 1/2 lemon, juiced","Season 1/2 chicken with salt, pepper, oregano and lemon juice. Place on grill for about 30 minutes or until juices run clear.",0.2738858182025895
11,Simply Lemon Baked Chicken,chicken lemon,"1 (4 pound) whole chicken  , 2 tablespoons salt  , 1 lemon, halved  , 1 tablespoon paprika  , 1 cup water  ,  ","Preheat oven to 300 degrees F (150 degrees C).
Rub chicken with salt inside and out. Squeeze lemon juice from lemon halves over outside of chicken, then rub paprika over all. Place squeeze lemon halves inside chicken cavity, then place chicken in a lightly greased 9x13 inch baking dish. Pour a little water over chicken to prevent drying.
Bake at 300 degrees F (150 degrees C) for 3 hours, basting with water as needed.
",0.2738858182025895
12,"Chicken, Rice and Vegetable Soup",chicken broth chicken breast carrot onion celery chicken rice,"5 cups water  , 1 (14.5 ounce) can chicken broth  , 1 skinless, boneless chicken breast halves - cut into cubes  , 3 carrots, chopped  , 1 onion, chopped  , 3 stalks celery, chopped  , 2 cubes chicken bouillon  , 1/3 cup uncooked white rice  , salt and pepper to taste  ,  ","In a large saucepan over high heat, combine 4 cups water and the chicken broth and bring to a boil. Add the chicken, carrots, onion, celery and bouillon and reduce heat to low. Cover and simmer for about 15 minutes or until the vegetables are soft.
Add more water as necessary. Add the rice and allow to simmer for another 15 minutes, or until the rice is tender. Add salt and pepper to taste.
",0.29407323805229557
13,Grilled Chicken with Creamy Caper Sauce,chicken chicken breast lemon shallot garlic wine chicken stock cream,"4 chicken boneless skinless chicken breasts ""Thin- Sliced"", 2 teaspoons lemon pepper seasoning, 3 tablespoons olive oil, 1 shallot, diced, 1 tablespoon chopped garlic, 2 tablespoons capers, 1 cup white wine or chicken stock, 1 tablespoon Dijon mustard, 2 tablespoons freshly chopped parsley leaves, 2 tablespoons sour cream","Watch how to make this recipe.
Heat a grill pan or outdoor grill over medium to medium-high heat. Brush the grate of the grill with canola oil just before you grill the chicken. Season the chicken with lemon pepper and put on the grill. Grill for 4 to 5 minutes on each side.
Heat the olive oil in a medium skillet over medium heat. Add the shallot and garlic and saute for 2 minutes. Add the capers and white wine and reduce by half. Whisk in the mustard, and parsley and season with salt and pepper, to taste. Let simmer for 1 minute, then remove from heat and whisk in the sour cream.
Arrange the chicken on a platter and dollop with the creamy sauce.",0.2982990328474652
14,Chicken Paprikash I,chicken onion wine chicken broth cream,"1 (2 to 3 pound) whole chicken, cut into pieces  , 2 tablespoons olive oil  , salt and pepper to taste  , 1 cup chopped onion  , 1 tablespoon paprika  , 1/4 cup white wine  , 1/4 cup chicken broth  , 1/2 cup sour cream  ,  ","In a 12 inch skillet, heat olive oil and brown chicken on all sides. Season chicken with salt and pepper. Remove chicken and set aside.
Add onion to skillet. Cook just until tender, but not brown. Stir in paprika. Return chicken to skillet, turning to coat with paprika/onion mixture. Add wine and broth. Bring to a boil; reduce heat, cover and simmer for 40 minutes or until chicken is fully cooked and tender. Remove chicken and keep warm.
Boil skillet drippings until reduced to 1/2 cup liquid, about 3 minutes. Stir in 1/2 cup sour cream. Heat through. Serve chicken atop pasta if desired, and pour sauce over all.
",0.302730399812268
15,No Recipe Recipe: Roasting Chicken,chicken vegetable,"1 chicken, Vegetable oil, Kosher salt, Freshly ground black pepper","Heat oven to 400 degrees F and place rack in the middle.
Always wash and dry chicken on the inside so it doesn't steam and it bakes crispy.
Pat chicken dry with paper towels, drizzle with a few tablespoons of oil, and season generously with salt and freshly ground black pepper. (Make sure you season in the cavity, under the skin, and over the skin as this is the main seasoning. You could add a few teaspoons of a ground dried spice if you want to add flavor.) Let bird sit at room temperature while the oven heats up, about 20 to 30 minutes.
Place chicken on a roasting rack, on a cooling rack, on your toaster oven rack, or on a bed of vegetables (heads of garlic, halved onions, or lemons work) and set in a roasting pan or baking dish.
Roast until skin is golden-brown, about 20 to 30 minutes. Reduce heat to 375 degrees F and roast, basting with pan juices, until juices run clear when thigh is pierced and temperature is 160 degrees F, about 40 to 60 minutes more (depends on the size of the bird).
Let rest 10 to 15 minutes before carving.",0.3044419401699823
16,Incredible Chicken,chicken garlic sugar,"1 (4 pound) chicken, cut into pieces  , 1 teaspoon garlic salt  , 1/4 cup brown sugar  ,  ","Preheat oven to 375 degrees F (190 degrees C).
Arrange chicken skin side up in a lightly greased 9x13 inch baking dish. Season with garlic salt to taste. Then sprinkle with brown sugar and bake in the preheated oven for 1 hour. If chicken appears to be browning too much and getting dry, cover with foil for the last 15 to 20 minutes of baking.
",0.3065203310273139
17,Crunchy No-Fry Chicken,garlic chicken breast chicken stock,"3/4 cup finely crushed corn flakes  , 1/2 teaspoon garlic powder  , 1/8 teaspoon ground black pepper  , 1/8 teaspoon ground red pepper  , 4 skinless, boneless chicken breast halves  , 1/4 cup Swanson(r) Chicken Stock  ,  ","Stir the corn flakes, garlic powder, black pepper and red pepper in a shallow medium bowl.
Dip the chicken into the stock. Coat with the corn flake mixture. Place the chicken onto a baking sheet.
Bake at 400 degrees F for 20 minutes or until the chicken is cooked through.
",0.3103939441166762
18,Grilled Onions,onion butter chicken,"4 large onions  , 1/2 cup butter  , 4 cubes chicken bouillon  ,  ","Preheat grill for medium heat.
Peel outer layer off onions. Slice a small section off of one end of each onion, and make a small hole in the center. Fill the center of each onion with a bouillon cube and 2 tablespoons butter or margarine. Replace the top of the onion, and wrap in aluminum foil.
Place onions on grill over indirect heat, and close the lid. Cook for 1 hour, or until tender. Remove the tops, and cut into bite size chunks. Place in a serving dish with all the juices from the foil.
",0.31217350975270175
19,Simple Chicken Cacciatore,chicken onion garlic,"1 whole chicken, cut into 8 pieces  , 2 cups ketchup  , 1 green bell pepper, diced  , 1 onion, diced  , 1/2 cup water  , 1/4 cup oil  , 2 tablespoons white vinegar  , 1 teaspoon salt  , 1 teaspoon garlic powder  , 1/2 teaspoon ground black pepper  ,  ","Preheat oven to 350 degrees F (175 degrees C).
Arrange chicken pieces in a baking dish in a flat layer.
Stir ketchup, bell pepper, onion, water, oil, vinegar, salt, garlic powder, and black pepper together in a bowl; pour evenly over chicken pieces to coat.
Bake the chicken, basting occasionally, in the preheated oven until no longer pink at the bone and the juices run clear, about 2 hours. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C).
",0.3192566300712333
20,Balsamic Chicken  ,chicken broth sugar garlic chicken breast,"1/3 cup balsamic vinegar  , 1/2 cup chicken broth  , 2 tablespoons white sugar  , 1 clove garlic, minced  , 1 teaspoon dried Italian herb seasoning  , 4 skinless, boneless chicken breast halves  , 1 tablespoon olive oil  ,  ","Whisk together the balsamic vinegar, chicken broth, sugar, garlic, and Italian seasoning in a bowl, place the chicken breasts in the marinade, and marinate for 10 minutes on each side.
Heat the olive oil in a large skillet over medium-high heat. Remove the chicken from the marinade and reserve the marinade. Place the chicken in the heated pan and cook until they start to brown and are no longer pink inside, about 7 minutes per side. Pour the marinade into the skillet, and cook until it thickens slightly, turning the chicken breasts over once or twice, about 5 minutes.
",0.3200029224393034
21,Pollo Encebollado,chicken onion chicken broth orange lemon,"1 (4 pound) chicken, cut into pieces  , 1 tablespoon corn oil  , 3 onions, thinly sliced  , 1/2 cup chicken broth  , 3 tablespoons orange juice  , 2 tablespoons lemon juice  , salt and pepper to taste  ,  ","In a large skillet, heat corn oil over medium-high heat. Add chicken pieces and saute for 5 minutes, until lightly browned. Add onions and saute for 2 minutes more. Add juice, broth, salt and pepper. Stir all together. Cover skillet and reduce heat to low. Let simmer for 45 minutes or until chicken is cooked through and juices run clear.
",0.32045968664729585
22,Flo's Smothered Chicken,chicken flour celery onion garlic chicken broth homemade chicken stock,"1 chicken, 3 to 3 1/2 pounds, 1 teaspoon salt, 1/2 teaspoon freshly ground black pepper, 1/2 cup flour, 1 celery stalk, 2 onions, 2 cloves garlic, 1/2 teaspoon dried thyme, 2 tablespoons oil, 2 cups chicken broth or homemade chicken stock","Cut the chicken into serving pieces: the breast into halves, the legs and thighs separated, plus the wings, for a total of 8 pieces. Trim away any visible fat and discard. Rinse the chicken well under cold running water. Pat dry with paper towels. Sprinkle the chicken with the salt and black pepper. Place the chicken into a plastic or brown bag. Pour the flour into the bag and shake well to cover the chicken all over. Remove the chicken from the bag and dust off excess flour. Save 1 tablespoon of the flour to use to thicken the gravy. Dice the celery; slice the onions; and mince the garlic. Crush the thyme. Set aside. Heat the oil in a large skillet that has a cover. Add the chicken and saute over mediumlow heat for about 20 minutes, turning occasionally to brown evenly. When golden brown, push the chicken to the side of the pan. Add the reserved tablespoon of flour and saute, stirring until browned. Add the celery, onion, and garlic to the skillet and saute for 5 minutes, stirring occasionally, or until the vegetables are tender. Stir together the chicken and vegetables. Add the chicken broth. Bring to a gentle boil. Reduce the heat to very low, cover, and simmer the chicken for 20 to 25 minutes, or until the chicken is fork-tender and the juices run clear when pierced.;",0.32728291109839636
23,Easy Lemon Garlic Chicken,garlic chicken breast chicken broth lemon,"1 tablespoon olive oil  , 2 cloves garlic, minced  , 2 (6 ounce) chicken breasts  , 1/2 cup chicken broth  , 2 tablespoons lemon juice  ,  ","Heat olive oil in a skillet over medium heat; cook and stir garlic until fragrant, about 1 minute. Add chicken and cook until browned, about 4 minutes per side.
Pour broth over chicken and cover skillet; lower heat to low and simmer until chicken is no longer pink in the center, about 30 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer chicken to a plate, reserving broth mixture in the skillet.
Pour lemon juice into broth mixture and simmer until liquid is reduced by 1/3, 2 to 3 minutes. Return chicken to the skillet and cook until heated through, 2 to 3 minutes per side.
",0.3349810507509673
24,Lemon Garlic Chicken Breasts,garlic chicken breast chicken broth lemon,"cooking spray  , 1 clove garlic, minced  , 4 skinless, boneless chicken breast halves  , salt and ground black pepper to taste  , 3/4 cup chicken broth  , 1 tablespoon lemon juice  ,  ","Lightly spray a nonstick skillet with cooking spray and place over low heat; cook and stir garlic until fragrant and lightly browned, 2 to 3 minutes.
Season chicken with salt and pepper and place in skillet with garlic; cook over medium heat until browned on both sides, 10 to 12 minutes. Add chicken broth and lemon juice; bring to a boil. Reduce heat to medium-low, cover skillet, and simmer until chicken is no longer pink in the center, 10 to 15 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
Transfer chicken to a serving dish, reserving liquid in skillet. Continue simmering liquid until slightly reduced, about 3 minutes. Pour liquid over chicken.
",0.3349810507509673
25,Easy Coq Au Vin,vegetable chicken garlic wine chicken stock onion,"1 tablespoon vegetable oil  , 1 (4 pound) whole chicken, cut into pieces  , 1 teaspoon salt  , 1/4 teaspoon ground black pepper  , 1/4 teaspoon garlic powder  , 1 1/2 cups red wine  , 1 1/2 cups chicken stock  , 1 onion  , 1 tablespoon cornstarch  , 1/3 cup water  ,  ","Heat oil in a large skillet over medium high heat. Season chicken parts with salt, pepper and garlic powder and saute until lightly browned, about 5 to 7 minutes.
Place wine in a shallow dish or bowl. Dip chicken pieces into wine, one at a time, and return to skillet. Add any remaining wine, stock and onions, stir together and reduce heat to medium.
Cover skillet and cook for 30 minutes or until chicken is cooked through and no longer pink inside. In a small bowl, mix together cornstarch and water and add mixture to sauce to thicken; cook an additional 2 to 3 minutes and serve.
",0.3445532063756218
26,Jalapeno Chicken,chicken chicken broth lime jalapeno,"2 teaspoons ground cinnamon  , 2 teaspoons chili powder  , 1 teaspoon ground cumin  , 2 teaspoons salt  , 1 teaspoon black pepper  , 1 whole chicken, cut into pieces  , 1 cup chicken broth  , 2 tablespoons honey  , 2 limes, juiced  , 1/2 jalapeno pepper, minced  ,  ","Preheat oven to 450 degrees F (230 degrees C). Lightly grease a medium baking sheet.
In a small bowl, mix cinnamon, chili powder, cumin, salt, and pepper. Rub chicken pieces with the mixture, and arrange on the prepared baking sheet.
In a medium saucepan over medium-high heat, blend chicken broth, honey, lime juice, and jalapeno. Cook and stir until thickened.
Place chicken in the preheated oven and cook about 15 minutes. Begin basting periodically with the chicken broth mixture. Continue cooking 30 minutes, or until the chicken is no longer pink and juices run clear.
",0.3472983385234004
27,Upside Down Chicken Rice,chicken onion carrot rice chicken broth,"1 (6 pound) whole chicken, skin removed and cut into pieces  , 1 medium onion, chopped  , 2 cinnamon sticks  , 4 carrots, peeled and cut into large chunks  , 1 1/4 cups canola oil  , 4 1/2 cups long grain rice, rinsed and drained  , 1 teaspoon ground cinnamon  , 1 teaspoon ground black pepper  , salt to taste  , 5 cups chicken broth  , 3/4 cup chopped almonds  , 3/4 cup canola oil, divided  , 1/4 cup pine nuts  ,  ","Trim any fat off the chicken and wash with water. Place the chicken, onion, cinnamon sticks, and carrots in a pot; fill with water, and boil until the chicken and carrots are done. Reserve the broth, chicken, and carrots.
Remove bones from chicken. Warm 1 1/4 cup canola oil in a large pot over medium-high heat. Place chicken and carrots in the pot; fry for 2 minutes.
In a bowl, stir together the rice, ground cinnamon, pepper, and salt. Pour the rice mixture evenly across the top of the chicken without stirring into the chicken. Pour in the chicken broth. Bring to a boil. Cover, reduce heat to medium, and simmer until rice is tender, 20 to 35 minutes.
Heat 1/2 cup canola oil in a skillet over medium heat. Stir in chopped almonds, and fry until golden. Remove almonds to paper towels, and drain oil.
Heat 1/4 cup canola oil in a skillet over medium heat. Stir in pine nuts, and cook until golden. Drain oil, and remove pine nuts to paper towels.
Over a large dish or tray, flip the rice pot upside down, and release the contents onto the tray or dish. Arrange the almonds and pine nuts on top.
",0.3486196543829936
28,Crunchy No Fry Chicken,garlic chicken stock chicken breast about,"3/4 cup finely crushed corn flakes, 1/2 teaspoon garlic powder, 1/4 cup Swanson(r) Chicken Stock, 1/8 teaspoon ground black pepper, 1/8 teaspoon ground red pepper, 4 skinless, boneless chicken breast half (about 1 pound)","Heat the oven to 400 degrees F.
Stir the corn flakes, garlic powder, black pepper and red pepper in a shallow medium bowl.
Dip the chicken into the stock. Coat with the corn flake mixture. Place the chicken onto a baking sheet.
Bake for 20 minutes or until the chicken is cooked through.",0.3517537436964452
29,Chicken Velvet Soup,butter allpurpose flour chicken broth milk cream chicken,"6 tablespoons butter  , 1/3 cup all-purpose flour  , 3 cups chicken broth  , 1/2 cup milk  , 1/2 cup light cream  , 1 cup finely chopped cooked chicken  ,  ","Melt butter in a pot over medium-high heat. Whisk flour into butter until mixture forms a smooth paste, about 1 minute.
Whisk chicken broth, milk, and light cream into butter mixture; cook and stir until mixture comes to a boil and thickens, 5 to 10 minutes. Reduce heat to medium, stir in cooked chicken. Return soup to a boil and cook until chicken is heated through, 5 to 10 minutes.
",0.3546790174858926
30,Braised Chicken Thighs and Legs with Tomato,chicken thigh chicken onion garlic tomato,"4 tablespoons canola oil, 6 chicken thighs, 6 chicken legs, Kosher salt, 1 teaspoon whole cumin seeds, 2 teaspoons chili flakes, 1 large white onion, peeled, halved and thinly sliced, 1 large ginger knob, peeled and grated, 6 garlic cloves, peeled and halved lengthwise, 1 (28-ounce) can whole, peeled tomatoes, 2 cinnamon sticks, 4 fresh or dried bay leaves, Water, as needed","Watch how to make this recipe.
Heat the canola oil in a large skillet over high heat. Arrange the chicken thighs and legs on a tray in a single layer and season them with salt, to taste. Turn the pieces on their other side and season again. When the oil begins to smoke lightly, carefully add the chicken to the oil. Do not overcrowd the pan. Resist the temptation to move or turn the pieces. Allow them to brown on their first side, about 3 to 5 minutes. Use metal tongs to turn the chicken pieces to sear their second side, about 3 to 5 minutes. Transfer the chicken to a tray and set it aside.
In the same skillet, add the cumin seeds and chili flakes, stirring rapidly to give them a quick toast, about 10 to 15 seconds. Add the onions, ginger and garlic and stir to combine. Season the ingredients with salt, to taste, then add the tomatoes, cinnamon, and bay leaves. Allow the mixture to cook and all the flavors to come together, about 10 minutes. Add the chicken back to the pan, keep the heat low and continue cooking until the chicken is cooked through, 30 to 45 minutes. (Chef's note: If the sauce becomes overly thick or begins to stick to the bottom of the skillet, feel free to add some water, about 1/2 cup at a time.)
When the chicken is cooked through, remove and discard the cinnamon sticks and bay leaves. Taste for seasoning and transfer to a serving bowl. Serve alongside the braised cabbage, if desired.",0.3608780529282535
31,Grilled Bone-in Chicken Breasts and Pieces ,chicken breast bonein chicken,"Chicken breasts, bone-in, or chicken pieces, Olive oil, Kosher salt and freshly ground black pepper","Grilling Method: Indirect/Medium Heat Remove and discard excess fat from chicken. Pat dry. Brush lightly with oil. Season with salt and pepper. Place chicken, bone-side down, in center of cooking grate. You do not need to turn the chicken pieces. Grill-roast until breast meat near bone registers 165degF and thigh meat registers 180degF. If you don't have a meat thermometer, cook until the chicken meat is no longer pink and the juices run clear. Remove and let sit 5 to 10 minutes before serving.
Grilling Method: Indirect/Medium Heat
Remove and discard excess fat from chicken. Pat dry. Brush lightly with oil. Season with salt and pepper. Place chicken, bone-side down, in center of cooking grate. You do not need to turn the chicken pieces.
Grill-roast until breast meat near bone registers 165degF and thigh meat registers 180degF. If you don't have a meat thermometer, cook until the chicken meat is no longer pink and the juices run clear. Remove and let sit 5 to 10 minutes before serving.",0.36356978440001564
32,Grilled Chicken Moroccan Style ,wine sugar chicken breast rib crosswise chicken chicken thigh,"1 cup olive oil, 1/4 cup red wine vinegar, 3 tablespoons ground cumin, 1 1/2 tablespoons ground coriander, 2 teaspoons ground cinnamon, 2 teaspoons salt, 2 teaspoons sugar, 1/4 teaspoon cayenne pepper, 4 large chicken breast halves with skin and ribs, cut crosswise in half, 4 chicken legs, 4 chicken thighs, 1/4 cup minced fresh parsley","Whisk first 8 ingredients in large glass baking dish. Add all chicken; turn to coat. Cover with plastic wrap; chill 4 to 6 hours. Prepare barbecue (medium heat). Place marinade-coated chicken on barbecue. Grill chicken until just cooked through, occasionally brushing with any remaining marinade, about 10 minutes per side for breasts and about 12 minutes per side for leg and thigh pieces. Transfer chicken to platter. Sprinkle with parsley.
Whisk first 8 ingredients in large glass baking dish. Add all chicken; turn to coat. Cover with plastic wrap; chill 4 to 6 hours.
Prepare barbecue (medium heat). Place marinade-coated chicken on barbecue. Grill chicken until just cooked through, occasionally brushing with any remaining marinade, about 10 minutes per side for breasts and about 12 minutes per side for leg and thigh pieces. Transfer chicken to platter. Sprinkle with parsley.",0.3635756286476438
33,Scrumptious Baked Chicken and Potatoes,chicken potato,"5 pounds chicken parts  , 1 cup water  , 6 potatoes, quartered  , 2 tablespoons olive oil  , 2 teaspoons crushed dried rosemary  , 2 teaspoons crushed dried thyme  , salt and ground black pepper to taste  ,  ","Preheat an oven to 350 degrees F (175 degrees C).
Place the chicken pieces in a large baking dish; pour the water into the bottom of the dish. Arrange the potatoes around and over the chicken pieces. Drizzle the olive oil over the mixture; season with the rosemary, thyme, salt, and pepper.
Bake the chicken in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 180 degrees F (82 degrees C).
",0.36373731129849973
34,Honey Brined Chicken with Lemon and Sage,chicken garlic lemon,"1 (3 to 4 pound) whole chicken, 4 ounces honey, 4 ounces salt, 1 quart water, 2 bay leaves, 2 cloves garlic sliced, 6 sage leaves, 6 thin slices lemon seeds removed, 2 ounces olive oil","Mix honey, salt, water, bay leaves, and garlic together. Pull skin away from chicken just enough to place sage leaves and lemon slices under skin. Truss the chicken and tie the other end of the butcher's twine to the pot handle for a quick retrieval of the brined chicken. Place chicken in liquid and let sit in cooler for 12 hours.
Preheat oven to 375 degrees F.
Place chicken on roasting rack in oven and brush with olive oil. Bake for about 45 to 50 minutes or until juices run clear.",0.3641570974030198
35,Mediterranean Lemon Chicken,lemon garlic chicken,"1 lemon  , 2 teaspoons dried oregano  , 3 cloves garlic, minced  , 1 tablespoon olive oil  , 1/4 teaspoon salt  , 1/4 teaspoon ground black pepper  , 6 chicken legs  ,  ","Preheat oven to 425 degrees F (220 degrees C).
In a 9x13 inch baking dish, grate the peel from 1/2 the lemon, squeeze out the juice (about 1/4 cup) and add to peel with the oregano, garlic, oil, salt and pepper. Stir until mixed.
Remove skin from chicken pieces and discard. Coat chicken pieces with the lemon mixture and arrange, bone-side up, in the baking dish. Cover dish and bake for 20 minutes. Turn and baste chicken.
Reduce heat to 400 degrees F (205 degrees C) and bake uncovered, basting every 10 minutes, for about 30 more minutes. Serve chicken with pan juices.
",0.3641570974030198
